file,time
2,0.7101259231567383
4,0.9067156314849854
6,1.3702764511108398
8,3.494042158126831
10,3.1655309200286865
12,3.346926689147949
14,4.194966077804565
16,3.570354461669922
18,7.113525629043579
20,9.06824541091919
22,6.519769668579102
24,8.66262435913086
26,10.463117122650146
28,10.357208490371704
30,10.34423279762268
32,9.631680727005005
34,9.534676313400269
36,10.220642805099487
38,11.24489974975586
40,12.832398653030396
42,13.131906509399414
44,13.938848495483398
46,16.27224349975586
48,15.150613784790039
50,14.390607357025146
52,16.78510046005249
54,17.475600957870483
56,17.121214628219604
58,19.505390405654907
60,18.18634033203125
62,18.489537954330444
64,22.597400426864624
66,21.276800632476807
68,21.56191110610962
70,22.274672508239746
72,24.72037124633789
74,24.301087856292725
76,23.719248056411743
78,25.38316249847412
